Угол атаки 0 градусов;;;;;;;;
№;h1;h2;r;Cx;Cy;Cmz;Cxa;Cya
7;;0,05;0,05;0,057724732;0,099946116;0,052189414;-0,039493697;0,108450996
8;;0,1;0,1;0,264112957;0,302532529;0,176503549;-0,207570685;0,343796445
9;;0,2;0,2;1,289784226;1,007878716;0,643638867;-1,095188843;1,216521375
10;;0,3;0,3;3,092060262;2,033641581;1,319650568;-2,691979413;2,539642019
11;0,2;0,01;0,01;0,00403951;0,017122641;0,006987001;-0,001005052;0,01756395
12;;0,05;0,05;0,059053108;0,165306654;0,066345428;-0,029452984;0,173049361
13;;0,1;0,1;0,211793755;0,490637218;0,2187374;-0,123384557;0,519959349
14;;0,2;0,2;0,963096406;1,644199579;0,83544934;-0,662975512;1,786451906
15;;0,3;0,3;2,169366789;3,423739568;1,986460712;-1,541931284;3,748412039
16;0,3;0,01;0,01;0,005084645;0,023926883;0,010428655;-0,000852853;0,024446308
17;;0,05;0,05;0,066061327;0,203871337;0,079443695;-0,029658549;0,212245121
18;;0,1;0,1;0,22755588;0,576263424;0,238696664;-0,124039505;0,607021757
19;;0,2;0,2;0,907664625;1,761384458;0,77353321;-0,588038284;1,892231819
20;;0,3;0,3;2,172639755;3,704554221;1,880906662;-1,496395136;4,025529416
;;;;;;;;
№;h2;h1;r;Cx;Cy;Cmz;Cxa;Cya
21;0,01;0,01;0,01;0,002355136;0,003947079;0,002059027;-0,001634008;0,004296058
22;;0,05;0,05;0,120285418;0,031012527;0,013924807;-0,113073405;0,051427267
23;;0,1;0,1;0,653492129;0,0384905;0,026150969;-0,636882256;0,151375273
24;;0,2;0,2;2,73677579;0,116762253;0,098366364;-2,674930051;0,590190113
25;;0,3;0,3;6,231746582;0,251179545;0,225816148;-6,093472569;1,329416667
26;0,05;0,01;0,01;0,001905643;0,005272005;0,003269701;-0,000961289;0,005522811
27;;0,05;0,05;0,057724732;0,099946116;0,052189414;-0,039493697;0,108450996
28;;0,1;0,1;0,330568679;0,266271843;0,12502438;-0,279313087;0,319625634
29;;0,2;0,2;1,788638168;0,603998843;0,269494616;-1,656593076;0,905395206
30;;0,3;0,3;5,541960307;0,539001812;0,307883987;-5,364187989;1,493095513
31;0,2;0,01;0,01;0,002338539;0,00912298;0,006053616;-0,000718943;0,009390456
32;;0,05;0,05;0,047323212;0,124804142;0,076109091;-0,02493394;0,131125356
33;;0,1;0,1;0,194566077;0,433436465;0,239399667;-0,11635065;0,460636141
34;;0,2;0,2;0,963096406;1,644199579;0,83544934;-0,662975512;1,786451906
35;;0,3;0,3;2,52829531;3,390680857;1,657630873;-1,901147842;3,778178229
36;0,3;0,01;0,01;0,00293262;0,01110134;0,007349613;-0,000960487;0,011441917
37;;0,05;0,05;0,049164051;0,140144497;0,088853628;-0,024083186;0,146552326
38;;0,1;0,1;0,194355956;0,459805246;0,269928847;-0,111565165;0,486567895
39;;0,2;0,2;0,795146739;1,665838269;0,877355104;-0,493819758;1,778599877
40;;0,3;0,3;2,172639755;3,704554221;1,880906662;-1,496395136;4,025529416
;;;;;;;;
№;r;h1;h2;Cx;Cy;Cmz;Cxa;Cya
41;0,01;0,01;0,01;0,002355136;0,003947079;0,002059027;-0,001634008;0,004296058
42;;0,05;0,05;0,001978994;0,00850704;0,004495767;-0,000471809;0,008721442
43;;0,1;0,1;0,002603138;0,012983045;0,007109355;-0,000309278;0,013237829
44;;0,2;0,2;0,004158167;0,021334261;0,012441819;-0,000390619;0,021732198
45;;0,3;0,3;0,005626412;0,02696944;0,015660082;-0,000858094;0,027536719
46;0,05;0,01;0,01;0,170363612;0,015015941;0,015511574;-0,165168486;0,044369023
47;;0,05;0,05;0,057724732;0,099946116;0,052189414;-0,039493697;0,108450996
48;;0,1;0,1;0,045487519;0,129999446;0,063738053;-0,022224042;0,135923002
49;;0,2;0,2;0,050326885;0,189396705;0,098096661;-0,016676424;0,195258301
50;;0,3;0,3;0,056803342;0,240600055;0,128497206;-0,014163784;0,246808415
51;0,2;0,01;0,01;3,159379013;0,032384423;0,498871885;-3,105764913;0,580472913
52;;0,05;0,05;2,557520549;0,317627342;0,276334798;-2,463520386;0,756878982
53;;0,1;0,1;1,610099675;0,810712146;0,46467753;-1,444873815;1,077967907
54;;0,2;0,2;0,963096406;1,644199579;0,83544934;-0,662975512;1,786451906
55;;0,3;0,3;0,816197249;1,837114898;0,879635678;-0,484810804;1,950929928
56;0,3;0,01;0,01;7,192931826;0,053725269;1,596905439;-7,074342471;1,301857621
57;;0,05;0,05;6,351079827;0,422851545;0,544461927;-6,181184784;1,519201456
58;;0,1;0,1;4,872042088;1,15989784;0,809263753;-4,596636235;1,988238524
59;;0,2;0,2;2,827370591;3,027611132;1,721642117;-2,258721964;3,47255363
60;;0,3;0,3;2,172639755;3,704554221;1,880906662;-1,496395136;4,025529416
